"date","name","description","type","locations"
"1980-01-01","New Year's Day","New Year's Day is the first day of the year in the Gregorian calendar used in Australia and many other countries.","National holiday","All"
"1980-01-06","Epiphany","Many people in countries such as Australia annually observe Epiphany on January 6.","Christian","All"
"1980-01-07","Orthodox Christmas Day","Many Orthodox Christian churches in countries such as Australia observe Christmas Day on or near January 7 in the Gregorian calendar.","Orthodox","All"
"1980-01-14","Orthodox New Year","Many Orthodox Christian churches in countries such as Australia celebrate New Year’s Day on January 14 in the Gregorian calendar.","Orthodox","All"
"1980-01-28","Australia Day","Australia Day is a day of celebrations for Australians. It is celebrated on January 26 each year.","National holiday","All"
"1980-01-30","Milad un Nabi (Mawlid)","Eid Milad ul-Nabi marks the anniversary of the Prophet Muhammad's birth and death.","Muslim","All"
"1980-02-02","Tu B'Shevat (Arbor Day)","Tu B’Shevat is known as the “New Year for Trees”, is one of the four Jewish New Years.","Hebrew","All"
"1980-02-11","Royal Hobart Regatta","The Royal Hobart Regatta is an annual public holiday in southern Tasmania, Australia, on the second Monday in February.","Local holiday","Tas (southern)"
"1980-02-14","Valentine's Day","Valentine’s Day, which is annually held on February 14, is one of the most romantic days in the year for many people in countries such as Australia.","Observance","All"
"1980-02-16","Chinese New Year","Chinese New Year marks the first day of the New Year in the Chinese calendar.","Observance","All"
"1980-02-19","Carnival / Shrove Tuesday","Shrove Tuesday is the day before the start of the Lent period for many Christians in Australia.","Christian","All"
"1980-02-20","Ash Wednesday","Ash Wednesday marks the first day of Lent in for many Christians in Australia.","Christian","All"
"1980-03-02","Daylight Saving Time ends",NA,"Clock change/Daylight Saving Time","All"
"1980-03-02","Purim","Purim commemorates a time when Jewish people were saved from death around the fourth century BCE, according to the Book of Esther.","Hebrew","All"
"1980-03-03","Labour Day","Labour Day in Australia celebrates workers’ role in contributing towards the nation’s economy. It is an annual public holiday but its date varies across the states and territories.","Common local holiday","WA"
"1980-03-03","Eight Hours Day","Labour Day in Australia celebrates workers’ role in contributing towards the nation’s economy. It is an annual public holiday but its date varies across the states and territories.","Common local holiday","Tas"
"1980-03-10","Labour Day","Labour Day in Australia celebrates workers’ role in contributing towards the nation’s economy. It is an annual public holiday but its date varies across the states and territories.","Common local holiday","Vic"
"1980-03-17","Canberra Day","Canberra Day is a public holiday that celebrates Canberra’s official founding in the Australian Capital Territory.","Local holiday","ACT"
"1980-03-17","St Patrick's Day","St Patrick’s Day is a popular observance in Australia to honor Irish culture and commemorate one of Ireland’s patron saints, St Patrick.","Observance","All"
"1980-03-20","March Equinox",NA,"Season","All"
"1980-03-30","Palm Sunday","Palm Sunday in Australia celebrates Jesus Christ’s entry into Jerusalem. It is also the Sunday before Easter Sunday.","Christian","All"
"1980-04-01","First day of Passover"," Passover is a Jewish observance of the liberation from slavery and the Israelites' exodus from Egypt around 3000 years ago.","Hebrew","All"
"1980-04-03","Maundy Thursday","Many Christians in the Australia celebrate Maundy Thursday on the Thursday before Good Friday.","Christian","All"
"1980-04-04","Orthodox Good Friday","Many Orthodox Christians in Australia remember the events leading up to Jesus Christ's crucifixion on Great Friday.","Orthodox","All"
