"date","name","description","type","locations"
"1980-01-01","New Year's Day","New Year's Day is the first day of the Gregorian calendar, which is widely used in many countries such as the USA.","National holiday","All"
"1980-01-06","Epiphany","Many people in the United States annually observe Epiphany, or Three Kings’ Day, on January 6. It is a Christian observance and a public holiday in the US Virgin Islands.","Christian","All"
"1980-01-07","Orthodox Christmas Day","Many Orthodox Christian churches in countries such as the United States observe Christmas Day on or near January 7 in the Gregorian calendar.","Orthodox","All"
"1980-01-13","Stephen Foster Memorial Day","Stephen Foster Memorial Day is annually observed in the United States on January 13. The day remembers the achievements of Stephen Foster, who is known as the “father of American music”.","Observance","All"
"1980-01-13","Chicago Marathon","The Chicago Marathon is one of the six World Marathon Majors and is held annually in October.","Sporting event","All"
"1980-01-14","Orthodox New Year","Many Orthodox Christian churches in countries such as the United States celebrate New Year’s Day on January 14 in the Gregorian calendar.","Orthodox","All"
"1980-01-19","Robert E. Lee's Birthday","Robert E. Lee’s birthday is an annual official state holiday that is shared with Martin Luther King’s birthday in some parts of the US.","Local holiday","AL"
"1980-01-19","Robert E. Lee's Birthday","Robert E. Lee’s birthday is an annual official state holiday that is shared with Martin Luther King’s birthday in some parts of the US.","Local holiday","All"
"1980-01-19","Confederate Heroes' Day","On Confederate Memorial Day remembers the soldiers who died fighting for the Confederate States of America during the American Civil War (1861-1865). It is a state holiday in some parts of the United States.","Local holiday","TX"
"1980-01-19","Lee-Jackson Day","Lee-Jackson Day is an annual state holiday in Virginia, the United States, on the Friday before Martin Luther King Day in January.","Local holiday","VA"
"1980-01-20","Super Bowl","The Super Bowl is the championship game of the National Football League (NFL) in the United States. It is played every year in February.","Sporting event","All"
"1980-01-21","Robert E. Lee's Birthday","Robert E. Lee’s birthday is an annual official state holiday that is shared with Martin Luther King’s birthday in some parts of the US.","Local holiday","AR"
"1980-01-27","World Leprosy Day","World Leprosy Day brings awareness of leprosy, also known as Hansen's disease, and ways to prevent the disease.","Worldwide observance","All"
"1980-01-29","Kansas Day","Kansas Day is an annual observance that commemorates the state's admission to the Union in 1861.","Observance","All"
"1980-01-30","The Prophet's Birthday","Eid Milad ul-Nabi (Mawlid or Milad-un-Nabi) commemorates the Prophet Muhammed's birthday.","Muslim","All"
"1980-02-01","National Freedom Day","National Freedom Day in the United States is observed on February 1 each year.","Observance","All"
"1980-02-02","Tu Bishvat/Tu B'Shevat","Tu B’Shevat is known as the “New Year for Trees”, is a Jewish festival similar to Arbor Day.","Hebrew","All"
"1980-02-02","Groundhog Day","Many people in the United States observe Groundhog Day on February 2.","Observance","All"
"1980-02-12","Lincoln's Birthday","Lincoln’s Birthday is observed in the United States in honor of Abraham Lincoln, who was the nation’s 16th president and was known as the Great Emancipator.","Local holiday","CA, CT, IL, NJ, NY, MO"
"1980-02-14","Valentine's Day","Valentine's Day is an occasion to celebrate romantic love.","Observance","All"
"1980-02-14","Statehood Day",NA,"Local observance","AZ"
"1980-02-15","Susan B. Anthony's Birthday","Susan B Anthony Day is an national American observance that is legally recognized in some states.","Local observance","WI"
"1980-02-16","Chinese New Year","Chinese New Year marks the first day of the New Year in the Chinese calendar.","Observance","All"
"1980-02-18","Presidents' Day","Washington's Birthday, or Presidents' Day, honors the life and work of the first president of the United States, George Washington.","National holiday","All except DE, GA, IN, IA, KS, KY, LA, NM, NC, RI, WI"
"1980-02-19","Shrove Tuesday/Mardi Gras","Shrove Tuesday is traditionally known as the day prior to Lent but it also serves as a day of celebration, known as Mardi Gras.","Local holiday","LA"
"1980-02-19","Shrove Tuesday/Mardi Gras","Shrove Tuesday is traditionally known as the day prior to Lent but it also serves as a day of celebration, known as Mardi Gras.","Local holiday","AL (partly)"
"1980-02-19","Shrove Tuesday/Mardi Gras","Shrove Tuesday is traditionally known as the day prior to Lent but it also serves as a day of celebration, known as Mardi Gras.","Observance, Christian","All"
"1980-02-20","Ash Wednesday","Ash Wednesday is a Christian observance that marks the first day of Lent, which is prior to Easter.","Christian","All"
"1980-03-01","St. David's Day","Many Welsh communities in the United States celebrate the life of their patron saint, St David, and their links with Wales on St David’s Day.","Observance, Christian","All"
"1980-03-02","Purim","Purim commemorates a time when Jewish people were saved from death around the fourth century BCE, according to the Book of Esther.","Hebrew","All"
"1980-03-02","Texas Independence Day","Texas Independence Day is a legal holiday in Texas, in the United States.","Local holiday","TX"
"1980-03-03","Casimir Pulaski Day","Casimir Pulaski Day is a day off for some schools and offices in Illinois, USA, on the first Monday of March each year.","Local observance","IL (community)"
"1980-03-04","Town Meeting Day","The state of Vermont, in the USA, holds its Town Meeting Day on the first Tuesday of March each year.","Local holiday","VT"
"1980-03-08","International Women's Day","International Women’s Day celebrates women’s achievements worldwide and throughout history.","United Nations observance","All"
"1980-03-17","St. Patrick's Day","St Patrick's Day marks the life and deeds of St Patrick, one of Ireland's patron saints. It is an Irish-American celebration in the USA.","Observance, Christian","All"
"1980-03-17","Evacuation Day","Evacuation Day in Suffolk County, Massachusetts, commemorates the first major American military victory in the Revolutionary War, which saw the British troops evacuate Boston.","Local holiday","MA (partly)"
"1980-03-20","March Equinox",NA,"Season","All"
"1980-03-21","International Day for the Elimination of Racial Discrimination","The United Nations’ (UN) International Day for the Elimination of Racial Discrimination is annually observed on March 21.","United Nations observance","All"
"1980-03-23","World Meteorological Day","World Meteorological Day marks the anniversary of the World Meteorological Organization's establishment on March 23, 1950.","United Nations observance","All"
"1980-03-25","Maryland Day","Maryland Day commemorates the arrival of Lord Baltimore and the first colonists in Maryland, the United States, in the 17th century.","Local observance","MD"
"1980-03-26","Prince Jonah Kuhio Kalanianaole Day","Prince Jonah Kuhio Kalanianaole Day is annually held in Hawaii on March 26 to honor Prince Jonah Kuhio Kalanianaole.","Local holiday","HI"
"1980-03-30","Palm Sunday","Palm Sunday in the United States celebrates Jesus Christ’s entry into Jerusalem. It is also the Sunday before Easter Sunday.","Christian","All"
"1980-03-31","Seward's Day","Seward’s Day is a state holiday in Alaska, in the United States, on the last Monday of March.","Local holiday","AK"
"1980-04-01","Passover (first day)"," Passover marks the Israelites' liberation from slavery and their exodus from Egypt around 3000 years ago.","Hebrew","All"
"1980-04-01","April Fool's Day","April Fool's Day, on April 1, is a day to play practical jokes and tricks.","Worldwide observance","All"
"1980-04-02","Pascua Florida Day","Pascua Florida Day, which usually falls on April 2, is a state day in Florida, USA.","Local observance","FL"
"1980-04-03","Maundy Thursday","Maundy Thursday, which is also known as Holy Thursday, is the day before Good Friday.","Christian","All"
"1980-04-04","Orthodox Good Friday","Many Orthodox Christians in the United States remember the events leading up to Jesus Christ's crucifixion on Great Friday.","Orthodox","All"
"1980-04-04","Good Friday","Good Friday commemorates Jesus Christ's crucifixion.","Local holiday, Christian","CT, HI, DE, IN, KY, LA, NJ, NC, ND, TN, TX (optional)"
"1980-04-05","Holy Saturday","Holy Saturday is the day before Easter Sunday in the United States.","Christian","All"
"1980-04-05","Orthodox Holy Saturday","Many Orthodox Christians in the United States remember Jesus Christ’s burial and his descent into Hades on Holy Saturday.","Orthodox","All"
"1980-04-06","Orthodox Easter","Many Orthodox Christians in the United States mark Easter Sunday, also known as Pascha, as the day Jesus Christ was resurrected, according to the Christian bible.","Orthodox","All"
"1980-04-06","Easter Sunday","Easter Sunday is an important day in the Christian church calendar because it celebrates Jesus Christ's resurrection, according to Christian belief.","Observance, Christian","All"
